[GIN] 2024/12/09 - 11:39:42 | 499 | 39.084398329s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:07 | 200 | 18.039061022s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:07 | 200 |  278.954331ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:07 | 200 |  241.072615ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:07 | 200 |  240.867818ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:09 | 200 |  1.875520119s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:31 | 200 |  249.153027ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:31 | 200 |  277.498325ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:32 | 200 |  249.101077ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:32 | 200 |  251.391892ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2024/12/09 - 11:40:36 | 200 |  2.218454586s |       127.0.0.1 | POST     "/api/chat"
